geneName	geneChromosome	strand	exonNumber	geneLength
0610005C13Rik	chr7	-	5	1122
0610007C21Rik	chr5	+	7	961
0610007L01Rik	chr5	+	8	3845
0610007P08Rik	chr13	+	19	6044
0610007P14Rik	chr12	-	5	1185
0610007P22Rik	chr17	+	6	1193
0610008F07Rik	chr2	-	4	843
0610009B14Rik	chr12	-	2	939
0610009B22Rik	chr11	-	2	795
0610009D07Rik	chr12	+	4	1116
0610009L18Rik	chr11	+	2	619
0610009O20Rik	chr18	+	13	2404
0610010B08Rik	chr2	-|+	33	27231
0610010F05Rik	chr11	-	22	4140
0610010K14Rik	chr11	-	6	913
0610010O12Rik	chr18	+	3	595
0610011F06Rik	chr17	+	6	811
0610011L14Rik	chr2	+	5	3590
0610012G03Rik	chr16	-	1	1471
0610012H03Rik	chr2	+	4	1598
0610030E20Rik	chr6	+	4	4634
0610031J06Rik	chr3	+	6	1537
0610037L13Rik	chr4	+	7	1551
0610037P05Rik	chr16	-	5	1422
0610038B21Rik	chr8	+	1	1523
0610039K10Rik	chr2	+	1	951
0610040B10Rik	chr5	+	2	440
0610040F04Rik	chr6	-	10	2390
0610040J01Rik	chr5	+	4	1870
0610043K17Rik	chr4	+	4	618
0910001L09Rik	chr5	+	4	877
100043387	chr2	-|+	10	3242
1100001G20Rik	chr11	+	3	438
1110001A16Rik	chr17	+	5	1513
1110001J03Rik	chr6	+	2	441
1110002B05Rik	chr12	-	2	1363
1110002L01Rik	chr12	-	3	3300
1110002N22Rik	chr11	-	4	1287
1110003E01Rik	chr5	-	5	2084
1110004E09Rik	chr16	-	7	1163
1110004F10Rik	chr7	+	5	1400
1110005A03Rik	chr11	+	5	1039
1110006O24Rik	chr5	-	1	768
1110007C09Rik	chr13	-	6	804
1110008F13Rik	chr2	+	4	1050
1110008J03Rik	chr5	-	4	1666
1110008L16Rik	chr12	+	7	3117
1110008P14Rik	chr2	-	2	657
1110012D08Rik	chr10	-	5	2335
1110012J17Rik	chr17	-	15	7278
1110012L19Rik	chrX	+	3	1057
1110014N23Rik	chr19	-	10	2631
1110017D15Rik	chr4	-	7	1285
1110017F19Rik	chr11	+	2	975
1110018G07Rik	chr12	-	20	5433
1110018J18Rik	chr13	-	6	972
