geneName	geneChromosome	strand	exonNumber	geneLength
1/2-SBSRNA4	chr4	-	3	957
A1BG	chr19	-	8	1766
A1BG-AS1	chr19	+	4	2130
A1CF	chr10	-	15	9529
A2LD1	chr13	-	4	2903
A2M	chr12	-	36	4653
A2ML1	chr12	+	36	5188
A2MP1	chr12	-	9	1201
A4GALT	chr22	-	3	2092
A4GNT	chr3	-	3	1771
AA06	chr17	-	3	608
AAA1	chr7	-	9	6188
AAAS	chr12	-	16	1837
AACS	chr12	+	18	3321
AACSP1	chr5	-	7	2173
AADAC	chr3	+	5	1606
AADACL2	chr3	+	5	1500
AADACL3	chr1	+	4	4049
AADACL4	chr1	+	4	1575
AADAT	chr4	-	14	2404
AAGAB	chr15	-	10	2845
AAK1	chr2	-	22	21265
AAMP	chr2	-	11	1793
AANAT	chr17	+	8	2093
AARS	chr16	-	21	3344
AARS2	chr6	-	22	4782
AARSD1	chr17	-	19	3372
AASDH	chr4	-	15	3561
AASDHPPT	chr11	+	6	2861
AASS	chr7	-	24	5871
AATF	chr17	+	12	2141
AATK	chr17	-	15	5358
AATK-AS1	chr17	+	6	1577
ABAT	chr16	+	18	5930
ABCA1	chr9	-	50	10502
ABCA10	chr17	-	40	6331
ABCA11P	chr4	-	3	1895
ABCA12	chr2	-	53	9290
ABCA13	chr7	+	62	17184
ABCA17P	chr16	+	17	4188
ABCA2	chr9	-	49	8365
ABCA3	chr16	-	33	6623
ABCA4	chr1	-	50	7325
ABCA5	chr17	-	39	9380
ABCA6	chr17	-	39	5296
ABCA7	chr19	+	47	6818
ABCA8	chr17	-	38	5720
ABCA9	chr17	-	39	6301
ABCB1	chr7	-	29	4716
ABCB10	chr1	-	13	3857
ABCB11	chr2	-	28	4775
ABCB4	chr7	-	28	3988
ABCB5	chr7	+	30	7728
ABCB6	chr2	-	19	3018
ABCB7	chrX	-	16	2387
ABCB8	chr7	+	16	4683
ABCB9	chr12	-	14	3909
ABCC1	chr16	+	31	6563
ABCC10	chr6	+	22	5464
ABCC11	chr16	-	30	4908
ABCC12	chr16	-	29	5168
ABCC13	chr21	+	7	2924
ABCC2	chr10	+	32	5051
ABCC3	chr17	+	30	5271
ABCC4	chr13	-	32	6252
ABCC5	chr3	-	32	7060
ABCC6	chr16	-	31	5579
ABCC6P1	chr16	+	10	2724
ABCC6P2	chr16	-	2	706
ABCC8	chr11	-	39	4978
ABCC9	chr12	-	39	8462
ABCD1	chrX	+	10	3664
ABCD2	chr12	-	10	5341
ABCD3	chr1	+	24	3797
ABCD4	chr14	-	19	3157
ABCE1	chr4	+	18	4194
ABCF1	chr6	+	25	3464
ABCF1	chr6_cox_hap2	+	25	3465
ABCF1	chr6_dbb_hap3	+	25	3465
ABCF1	chr6_mann_hap4	+	25	3464
ABCF1	chr6_mcf_hap5	+	25	3464
ABCF1	chr6_qbl_hap6	+	25	3465
ABCF1	chr6_ssto_hap7	+	25	334
ABCF2	chr7	-	16	3818
ABCF3	chr3	+	21	2572
ABCG1	chr21	+	20	3605
ABCG2	chr4	-	16	4431
ABCG4	chr11	+	16	3935
ABCG5	chr2	-	13	2740
ABCG8	chr2	+	13	2665
ABHD1	chr2	+	9	1446
ABHD10	chr3	+	5	2644
ABHD11	chr7	-	5	1645
ABHD11-AS1	chr7	+	4	473
ABHD12	chr20	-	14	2411
ABHD12B	chr14	+	13	1708
ABHD13	chr13	+	2	5302
ABHD14A	chr3	+	5	1108
ABHD14A-ACY1	chr3	+	17	1879
ABHD14B	chr3	-	4	2437
ABHD15	chr17	-	2	3355
ABHD16A	chr6	-	21	2481
ABHD16A	chr6_cox_hap2	-	21	2481
ABHD16A	chr6_dbb_hap3	-	21	2481
ABHD16A	chr6_mann_hap4	-	21	2481
ABHD16A	chr6_mcf_hap5	-	21	2481
ABHD16A	chr6_qbl_hap6	-	21	2481
ABHD16A	chr6_ssto_hap7	-	21	238
ABHD16B	chr20	+	1	1776
ABHD2	chr15	+	15	9133
ABHD3	chr18	-	9	2064
ABHD4	chr14	+	7	2509
ABHD5	chr3	+	7	5353
ABHD6	chr3	+	9	2393
ABHD8	chr19	-	5	2090
ABI1	chr10	-	13	3776
ABI2	chr2	+	10	6480
ABI3	chr17	+	8	2109
ABI3BP	chr3	-	35	4473
ABL1	chr9	+	12	5963
ABL2	chr1	-	14	12649
ABLIM1	chr10	-	25	8303
ABLIM2	chr4	-	22	4832
ABLIM3	chr5	+	24	4335
ABO	chr9	-	7	1579
ABP1	chr7	+	5	2428
ABR	chr17	-	25	5925
ABRA	chr8	-	2	2754
ABT1	chr6	+	3	2263
ABTB1	chr3	+	12	2022
ABTB2	chr11	-	17	4903
ACAA1	chr3	-	11	1987
ACAA2	chr18	-	10	1934
ACACA	chr17	-	63	11380
ACACB	chr12	+	52	9249
ACAD10	chr12	+	22	4107
ACAD11	chr3	-	20	3556
ACAD8	chr11	+	11	2201
ACAD9	chr3	+	18	2751
ACADL	chr2	-	11	2490
ACADM	chr1	+	12	2615
ACADS	chr12	+	10	1917
ACADSB	chr10	+	11	5941
ACADVL	chr17	+	20	2288
ACAN	chr15	+	18	8840
ACAP1	chr17	+	22	2508
ACAP2	chr3	-	23	7170
ACAP3	chr1	-	24	3759
ACAT1	chr11	+	12	2134
ACAT2	chr6	+	9	1551
ACBD3	chr1	-	8	3565
ACBD4	chr17	+	12	2756
ACBD5	chr10	-	14	4066
ACBD6	chr1	-	8	1616
ACBD7	chr10	-	4	3370
ACCN1	chr17	-	11	4271
ACCN2	chr12	+	12	3916
ACCN3	chr7	+	11	2088
ACCN4	chr2	+	10	2901
ACCN5	chr4	-	10	1692
ACCS	chr11	+	15	2256
ACCSL	chr11	+	14	1820
ACD	chr16	-	12	2066
ACE	chr17	+	26	5219
ACE2	chrX	-	19	3507
ACER1	chr19	-	6	1088
ACER2	chr9	+	6	2852
ACER3	chr11	+	11	4387
ACHE	chr7	-	5	2957
ACIN1	chr14	-	21	5143
ACLY	chr17	-	29	4353
ACMSD	chr2	+	10	1250
ACN9	chr7	+	2	2057
ACO1	chr9	+	21	3548
ACO2	chr22	+	18	2741
ACOT1	chr14	+	3	1603
ACOT11	chr1	+	18	3391
ACOT12	chr5	-	15	1989
ACOT13	chr6	+	4	4393
ACOT2	chr14	+	3	1767
ACOT4	chr14	+	3	1632
ACOT6	chr14	+	2	1004
ACOT7	chr1	-	12	2389
ACOT8	chr20	-	6	1171
